cipher:simon32, rounds:5, inputDiff:0x00100044, outputDiff:0x00440010, boomerang weight:-12, rectangle weight:-11.590609063862297, switchStartRound:3, SwitchRounds:1
cipher:simon32, rounds:5, inputDiff:0x00100064, outputDiff:0x00440010, boomerang weight:-12, rectangle weight:-2.461326046917332, switchStartRound:3, SwitchRounds:1
cipher:simon32, rounds:5, inputDiff:0x00000008, outputDiff:0x08880200, boomerang weight:-12, rectangle weight:-7.590609063862298, switchStartRound:3, SwitchRounds:1
cipher:simon32, rounds:5, inputDiff:0x00000004, outputDiff:0x04450100, boomerang weight:-12, rectangle weight:-11.590609063862297, switchStartRound:3, SwitchRounds:1
cipher:simon32, rounds:5, inputDiff:0x00200088, outputDiff:0x00880020, boomerang weight:-12, rectangle weight:-2.469593662900932, switchStartRound:3, SwitchRounds:1
cipher:simon32, rounds:5, inputDiff:0x00200088, outputDiff:0x00C80020, boomerang weight:-12, rectangle weight:-11.590609063862297, switchStartRound:3, SwitchRounds:1
cipher:simon32, rounds:5, inputDiff:0x00100044, outputDiff:0x10440010, boomerang weight:-12, rectangle weight:-11.590609063862297, switchStartRound:3, SwitchRounds:1
cipher:simon32, rounds:5, inputDiff:0x00000004, outputDiff:0x06450100, boomerang weight:-12, rectangle weight:-7.590609063862298, switchStartRound:3, SwitchRounds:1
cipher:simon32, rounds:5, inputDiff:0x00100044, outputDiff:0x00640010, boomerang weight:-12, rectangle weight:-4.68371846825378, switchStartRound:3, SwitchRounds:1
cipher:simon32, rounds:5, inputDiff:0x00014004, outputDiff:0x41040001, boomerang weight:-12, rectangle weight:-11.590609063862297, switchStartRound:3, SwitchRounds:1
cipher:simon32, rounds:5, inputDiff:0x00000008, outputDiff:0x088A0200, boomerang weight:-12, rectangle weight:-2.3787207693162946, switchStartRound:3, SwitchRounds:1
cipher:simon32, rounds:5, inputDiff:0x00010004, outputDiff:0x01440010, boomerang weight:-12, rectangle weight:-2.461326046917332, switchStartRound:3, SwitchRounds:1
cipher:simon32, rounds:5, inputDiff:0x002000C8, outputDiff:0x00880020, boomerang weight:-12, rectangle weight:-4.786895780358093, switchStartRound:3, SwitchRounds:1
cipher:simon32, rounds:5, inputDiff:0x00000008, outputDiff:0x0C880200, boomerang weight:-12, rectangle weight:-11.590609063862297, switchStartRound:3, SwitchRounds:1
cipher:simon32, rounds:5, inputDiff:0x00000008, outputDiff:0x0C8A0200, boomerang weight:-12, rectangle weight:-7.590609063862298, switchStartRound:3, SwitchRounds:1
cipher:simon32, rounds:5, inputDiff:0x00000001, outputDiff:0x01110040, boomerang weight:-12, rectangle weight:-11.590609063862297, switchStartRound:3, SwitchRounds:1
cipher:simon32, rounds:5, inputDiff:0x00014004, outputDiff:0x40040001, boomerang weight:-12, rectangle weight:-2.848349170026579, switchStartRound:3, SwitchRounds:1
cipher:simon32, rounds:5, inputDiff:0x00010004, outputDiff:0x01640010, boomerang weight:-12, rectangle weight:-4.696790051055225, switchStartRound:3, SwitchRounds:1
cipher:simon32, rounds:5, inputDiff:0x00000004, outputDiff:0x04440100, boomerang weight:-12, rectangle weight:-7.590609063862298, switchStartRound:3, SwitchRounds:1
