inputDiff:0x20008000, outputDiff:0x00440010, boomerang weight:-20, rectangle weight:-18.497429583788886, switch_len:4
inputDiff:0x00400110, outputDiff:0x80000000, boomerang weight:-20, rectangle weight:-17.11808388431476, switch_len:16
inputDiff:0x01000440, outputDiff:0x00040001, boomerang weight:-20, rectangle weight:-17.64102620090285, switch_len:8
inputDiff:0x00400190, outputDiff:0x00040000, boomerang weight:-20, rectangle weight:-17.11808388431476, switch_len:16
inputDiff:0x00040010, outputDiff:0x00440010, boomerang weight:-20, rectangle weight:-18.497429583788886, switch_len:4
inputDiff:0x00400110, outputDiff:0x02000000, boomerang weight:-20, rectangle weight:-17.11808388431476, switch_len:16
inputDiff:0x02000800, outputDiff:0x02000000, boomerang weight:-20, rectangle weight:-16.564004764716284, switch_len:16
inputDiff:0x00100044, outputDiff:0x00040001, boomerang weight:-20, rectangle weight:-17.64102620090285, switch_len:16
inputDiff:0x00010004, outputDiff:0x01000000, boomerang weight:-20, rectangle weight:-16.564024294821863, switch_len:8
inputDiff:0x00010006, outputDiff:0x00040000, boomerang weight:-20, rectangle weight:-16.564004764716284, switch_len:16
inputDiff:0x00100040, outputDiff:0x02200080, boomerang weight:-20, rectangle weight:-18.497429583788886, switch_len:4
inputDiff:0x00100044, outputDiff:0x00060001, boomerang weight:-20, rectangle weight:-17.64102620090285, switch_len:16
inputDiff:0x01000440, outputDiff:0x40000000, boomerang weight:-20, rectangle weight:-17.11808388431476, switch_len:8
inputDiff:0x00100044, outputDiff:0x00440010, boomerang weight:-20, rectangle weight:-19.051508703387366, switch_len:4
inputDiff:0x80000002, outputDiff:0x00040000, boomerang weight:-20, rectangle weight:-16.564004764716284, switch_len:16
inputDiff:0x00100040, outputDiff:0x10440010, boomerang weight:-20, rectangle weight:-18.497429583788886, switch_len:4
inputDiff:0x80000002, outputDiff:0x00060001, boomerang weight:-20, rectangle weight:-17.087193819015635, switch_len:8
inputDiff:0x00400100, outputDiff:0x00880020, boomerang weight:-20, rectangle weight:-18.497429583788886, switch_len:4
inputDiff:0x20008020, outputDiff:0x20000000, boomerang weight:-20, rectangle weight:-16.564004764716284, switch_len:16
inputDiff:0x00040011, outputDiff:0x40000000, boomerang weight:-20, rectangle weight:-17.11808388431476, switch_len:16
inputDiff:0x00101044, outputDiff:0x00040000, boomerang weight:-20, rectangle weight:-17.11808388431476, switch_len:16
inputDiff:0x00404190, outputDiff:0x02000000, boomerang weight:-20, rectangle weight:-17.11808388431476, switch_len:16
inputDiff:0x00202088, outputDiff:0x80080002, boomerang weight:-20, rectangle weight:-19.051508703387366, switch_len:4
inputDiff:0x01000440, outputDiff:0x08800200, boomerang weight:-20, rectangle weight:-19.051508703387366, switch_len:4
inputDiff:0x04001104, outputDiff:0x00040000, boomerang weight:-20, rectangle weight:-17.11808388431476, switch_len:16
inputDiff:0x01000440, outputDiff:0x20000800, boomerang weight:-20, rectangle weight:-17.64102620090285, switch_len:16
inputDiff:0x00101040, outputDiff:0x10440010, boomerang weight:-20, rectangle weight:-18.497429583788886, switch_len:4
inputDiff:0x01000441, outputDiff:0xC0202000, boomerang weight:-20, rectangle weight:-17.64102620090285, switch_len:16
inputDiff:0x08002200, outputDiff:0x00440010, boomerang weight:-20, rectangle weight:-19.051508703387366, switch_len:4
inputDiff:0x00010004, outputDiff:0x00040001, boomerang weight:-20, rectangle weight:-17.086947081304373, switch_len:16
inputDiff:0x04001900, outputDiff:0x08800200, boomerang weight:-20, rectangle weight:-19.051508703387366, switch_len:4
inputDiff:0x00800220, outputDiff:0x02000080, boomerang weight:-20, rectangle weight:-17.64102620090285, switch_len:16
inputDiff:0x00808220, outputDiff:0x20C00020, boomerang weight:-20, rectangle weight:-17.64102620090285, switch_len:16
